product,issue,table,category,code,desc_c,desc_e
HKMDS,202002,,product,HKMDS,香港統計月刊,Hong Kong Monthly Digest of Statistics
HKMDS,202002,,issue,202002,期號：2020年2月,Issue : February 2020
HKMDS,202002,T0801,table,T0801,表8.1：按區議會分區劃分的永久性居住屋宇單位總數,Table 8.1 : Stock of permanent living quarters by District Council district
HKMDS,202002,T0801,stat,M080101,永久性居住屋宇單位總數 (期末數字),Stock of permanent living quarters (as at end of period)
HKMDS,202002,T0801,class1,district,區議會分區,District Council district
HKMDS,202002,T0801,class1_code,district_01,中西區,Central & Western
HKMDS,202002,T0801,class1_code,district_02,灣仔,Wan Chai
HKMDS,202002,T0801,class1_code,district_03,東區,Eastern
HKMDS,202002,T0801,class1_code,district_04,南區,Southern
HKMDS,202002,T0801,class1_code,district_05,油尖旺,Yau Tsim Mong
HKMDS,202002,T0801,class1_code,district_06,深水埗,Sham Shui Po
HKMDS,202002,T0801,class1_code,district_07,九龍城,Kowloon City
HKMDS,202002,T0801,class1_code,district_08,黃大仙,Wong Tai Sin
HKMDS,202002,T0801,class1_code,district_09,觀塘,Kwun Tong
HKMDS,202002,T0801,class1_code,district_10,葵青,Kwai Tsing
HKMDS,202002,T0801,class1_code,district_11,荃灣,Tsuen Wan
HKMDS,202002,T0801,class1_code,district_12,屯門,Tuen Mun
HKMDS,202002,T0801,class1_code,district_13,元朗,Yuen Long
HKMDS,202002,T0801,class1_code,district_14,北區,North
HKMDS,202002,T0801,class1_code,district_15,大埔,Tai Po
HKMDS,202002,T0801,class1_code,district_16,沙田,Sha Tin
HKMDS,202002,T0801,class1_code,district_17,西貢,Sai Kung
HKMDS,202002,T0801,class1_code,district_18,離島,Islands
HKMDS,202002,T0801,class1_code,district_tt,總計,Total
HKMDS,202002,T0801,other_info,note_G1,地區分類是根據選舉事務處所界定的區議會分區而劃分，表內所有統計數字均是根據這地區分類編製而成的。,The geographical classification is by District Council districts as defined by the Registration and Electoral Office.  All the statistics in the table are compiled based on this geographical classification.
HKMDS,202002,T0801,other_info,note_G2,數字進位至最接近的百位數。,Figures are rounded to the nearest hundred.
HKMDS,202002,T0801,other_info,source,政府統計處普查策劃組﹙一﹚,"Census Planning Section (1), Census and Statistics Department"
HKMDS,202002,T0802,table,T0802,表8.2：按區議會分區劃分的公共租住房屋單位總數,Table 8.2 : Stock of public rental housing flats by District Council district
HKMDS,202002,T0802,stat,M080201,公共租住房屋單位總數 (期末數字),Stock of public rental housing flats (as at end of period)
HKMDS,202002,T0802,class1,district,區議會分區,District Council district
HKMDS,202002,T0802,class1_code,district_01,中西區,Central & Western
HKMDS,202002,T0802,class1_code,district_02,灣仔,Wan Chai
HKMDS,202002,T0802,class1_code,district_03,東區,Eastern
HKMDS,202002,T0802,class1_code,district_04,南區,Southern
HKMDS,202002,T0802,class1_code,district_05,油尖旺,Yau Tsim Mong
HKMDS,202002,T0802,class1_code,district_06,深水埗,Sham Shui Po
HKMDS,202002,T0802,class1_code,district_07,九龍城,Kowloon City
HKMDS,202002,T0802,class1_code,district_08,黃大仙,Wong Tai Sin
HKMDS,202002,T0802,class1_code,district_09,觀塘,Kwun Tong
HKMDS,202002,T0802,class1_code,district_10,葵青,Kwai Tsing
HKMDS,202002,T0802,class1_code,district_11,荃灣,Tsuen Wan
HKMDS,202002,T0802,class1_code,district_12,屯門,Tuen Mun
HKMDS,202002,T0802,class1_code,district_13,元朗,Yuen Long
HKMDS,202002,T0802,class1_code,district_14,北區,North
HKMDS,202002,T0802,class1_code,district_15,大埔,Tai Po
HKMDS,202002,T0802,class1_code,district_16,沙田,Sha Tin
HKMDS,202002,T0802,class1_code,district_17,西貢,Sai Kung
HKMDS,202002,T0802,class1_code,district_18,離島,Islands
HKMDS,202002,T0802,class1_code,district_tt,總計,Total
HKMDS,202002,T0802,class2,hinst,提供公共租住房屋單位的機構,Institutions providing public rental housing flats
HKMDS,202002,T0802,class2_code,hinst_01,香港房屋委員會 (註釋 1),Hong Kong Housing Authority (note 1)
HKMDS,202002,T0802,class2_code,hinst_02,香港房屋協會 (註釋 2),Hong Kong Housing Society (note 2)
HKMDS,202002,T0802,class2_code,hinst_tt,總數 (註釋 1) (註釋 2),Total (note 1) (note 2)
HKMDS,202002,T0802,other_info,note_G1,地區分類是根據選舉事務處所界定的區議會分區而劃分，表內所有統計數字均是根據這地區分類編製而成的。,The geographical classification is by District Council (DC) districts as defined by the Registration and Electoral Office.  All the statistics in the table are compiled based on this geographical classification.
HKMDS,202002,T0802,other_info,note_1,(註釋 1) 數字不包括中轉房屋單位及租者置其屋計劃的已售單位。,(note 1) Figures exclude Interim Housing units and Tenants Purchase Scheme sold flats.
HKMDS,202002,T0802,other_info,note_2,(註釋 2) 不包括長者安居樂住屋計劃。,(note 2) Projects under Senior Citizen Residences Scheme are excluded.
HKMDS,202002,T0802,other_info,source,房屋署；香港房屋協會,Housing Department; Hong Kong Housing Society
HKMDS,202002,T0803,table,T0803,表8.3：按區議會分區劃分的公共租住房屋單位認可居民人數,Table 8.3 : Authorised population of public rental housing flats by District Council district
HKMDS,202002,T0803,stat,M080301,公共租住房屋單位認可居民人數 (期末數字),Authorised population of public rental housing flats (as at end of period)
HKMDS,202002,T0803,class1,district,區議會分區,District Council district
HKMDS,202002,T0803,class1_code,district_01,中西區,Central & Western
HKMDS,202002,T0803,class1_code,district_02,灣仔,Wan Chai
HKMDS,202002,T0803,class1_code,district_03,東區,Eastern
HKMDS,202002,T0803,class1_code,district_04,南區,Southern
HKMDS,202002,T0803,class1_code,district_05,油尖旺,Yau Tsim Mong
HKMDS,202002,T0803,class1_code,district_06,深水埗,Sham Shui Po
HKMDS,202002,T0803,class1_code,district_07,九龍城,Kowloon City
HKMDS,202002,T0803,class1_code,district_08,黃大仙,Wong Tai Sin
HKMDS,202002,T0803,class1_code,district_09,觀塘,Kwun Tong
HKMDS,202002,T0803,class1_code,district_10,葵青,Kwai Tsing
HKMDS,202002,T0803,class1_code,district_11,荃灣,Tsuen Wan
HKMDS,202002,T0803,class1_code,district_12,屯門,Tuen Mun
HKMDS,202002,T0803,class1_code,district_13,元朗,Yuen Long
HKMDS,202002,T0803,class1_code,district_14,北區,North
HKMDS,202002,T0803,class1_code,district_15,大埔,Tai Po
HKMDS,202002,T0803,class1_code,district_16,沙田,Sha Tin
HKMDS,202002,T0803,class1_code,district_17,西貢,Sai Kung
HKMDS,202002,T0803,class1_code,district_18,離島,Islands
HKMDS,202002,T0803,class1_code,district_tt,總計,Total
HKMDS,202002,T0803,class2,hinst,提供公共租住房屋單位的機構,Institutions providing public rental housing flats
HKMDS,202002,T0803,class2_code,hinst_01,香港房屋委員會 (註釋 1),Hong Kong Housing Authority (note 1)
HKMDS,202002,T0803,class2_code,hinst_02,香港房屋協會 (註釋 2),Hong Kong Housing Society (note 2)
HKMDS,202002,T0803,class2_code,hinst_tt,總數 (註釋 1) (註釋 2),Total (note 1) (note 2)
HKMDS,202002,T0803,other_info,note_G1,地區分類是根據選舉事務處所界定的區議會分區而劃分，表內所有統計數字均是根據這地區分類編製而成的。,The geographical classification is by District Council (DC) districts as defined by the Registration and Electoral Office.  All the statistics in the table are compiled based on this geographical classification.
HKMDS,202002,T0803,other_info,note_1,(註釋 1) 數字不包括中轉房屋單位及租者置其屋計劃已售單位內的人口。,(note 1) Figures exclude Interim Housing units and Tenants Purchase Scheme sold flats.
HKMDS,202002,T0803,other_info,note_2,(註釋 2) 不包括長者安居樂住屋計劃。,(note 2) Projects under Senior Citizen Residences Scheme are excluded.
HKMDS,202002,T0803,other_info,source,房屋署；香港房屋協會,Housing Department; Hong Kong Housing Society
HKMDS,202002,T0804,table,T0804,表8.4：按樓宇種類劃分的新落成私人樓宇,Table 8.4 : Newly completed private buildings by type of building
HKMDS,202002,T0804,stat,M080401,新落成私人樓宇的數目,No. of blocks of newly completed private buildings
HKMDS,202002,T0804,stat,M080402,新落成私人樓宇的實用樓面面積 [千平方米],Usable floor area of newly completed private buildings [thousand sq. m.]
HKMDS,202002,T0804,class1,typeb,樓宇種類,Type of building
HKMDS,202002,T0804,class1_code,typeb_01,住宅,Residential
HKMDS,202002,T0804,class1_code,typeb_02,商住兩用,Residential/commercial
HKMDS,202002,T0804,class1_code,typeb_03,商業,Commercial
HKMDS,202002,T0804,class1_code,typeb_04,工業,Industrial
HKMDS,202002,T0804,class1_code,typeb_05,其他用途,Others
HKMDS,202002,T0804,class1_code,typeb_06,所有種類,All types
HKMDS,202002,T0804,class2,usage,用途種類,Type of usage
HKMDS,202002,T0804,class2_code,usage_01,住宅,Residential
HKMDS,202002,T0804,class2_code,usage_02,非住宅,Non-residential
HKMDS,202002,T0804,class2_code,usage_tt,總計,Total
HKMDS,202002,T0804,other_info,note_G1,住宅的實用樓面面積包括住宅樓宇內用作非住宅用途的實用樓面面積，例如：會所／康樂設施、管理員辦事處／宿舍、電機房等。,"Usable floor area of residential buildings includes usable floor area in residential buildings for non-domestic use, such as club house/recreational facilities, caretakers' office/quarters, transformer room, etc."
HKMDS,202002,T0804,other_info,§,少於0.05。,Less than 0.05.
HKMDS,202002,T0804,other_info,source,屋宇署；房屋署,Buildings Department; Housing Department
