product,issue,table,category,code,desc_c,desc_e
HKMDS,202008,,product,HKMDS,香港統計月刊,Hong Kong Monthly Digest of Statistics
HKMDS,202008,,issue,202008,期號：2020年8月,Issue: August 2020
HKMDS,202008,T1101A,table,T1101A,表11.1：留院及門診服務 － (甲) 衞生署,Table 11.1 : Inpatient and outpatient services - (A) Department of Health
HKMDS,202008,T1101A,stat,M110101,衞生署轄下的門診就診人次,Outpatient attendances under Department of Health
HKMDS,202008,T1101A,class1,out,門診類別,Type of outpatient clinic
HKMDS,202008,T1101A,class1_code,out_01,普通科門診 (註釋 1) (註釋 2),General outpatient (note 1) (note 2)
HKMDS,202008,T1101A,class1_code,out_02,其他門診 (註釋 1) (註釋 3),Other outpatient (note 1) (note 3)
HKMDS,202008,T1101A,other_info,note_1,(註釋 1) 數字包括公務員診所、家庭醫學深造培訓中心及懲教機構內由衞生署提供服務的醫院。,"(note 1) Figures include families clinics, Education and Training Centre in Family Medicine and hospitals in correctional institutions with services provided by the Department of Health."
HKMDS,202008,T1101A,other_info,note_2,(註釋 2) 2017年以前的數字只包括醫生診視、注射、敷藥及急症的人次。由2017年起，數字亦包括了戒煙服務、臨床心理學家診視及營養師診視的人次。由2019年6月起，數字亦包括了視光師診視及物理治療師診視的人次。,"(note 2) Before 2017, figures include doctor consultations, injections, dressings and accident and emergency only.  As from 2017, figures also include smoking cessation, clinical psychologist consultations and dietitian consultations.  As from June 2019, figures also include optometrist consultations and physiotherapist consultations."
HKMDS,202008,T1101A,other_info,note_3,(註釋 3) 由於學生健康服務及學童牙科保健服務的每年數字是指該學年內的到診／到訪人次，所以按季數字的總和不等於按年數字。,(note 3) Quarterly figures do not add up to annual figures as the annual attendances of the Student Health Service and School Dental Care Service are reported on school year basis.
HKMDS,202008,T1101A,note_figure,(#),臨時數字,Provisional figures
HKMDS,202008,T1101A,other_info,source,衞生署,Department of Health
HKMDS,202008,T1101B,table,T1101B,表11.1：留院及門診服務 － (乙) 醫院管理局,Table 11.1 : Inpatient and outpatient services - (B) Hospital Authority
HKMDS,202008,T1101B,stat,M110102,醫院管理局轄下的住院病人及日間住院病人 (註釋 1) 出院人次及死亡人數,Inpatient and day inpatient (note 1) discharges and deaths under Hospital Authority
HKMDS,202008,T1101B,stat,M110103,醫院管理局轄下的住院病人 (註釋 2) 病床住用率 [百分比],Inpatient (note 2) bed occupancy rate under Hospital Authority [%]
HKMDS,202008,T1101B,stat,M110104,醫院管理局轄下的門診就診人次,Outpatient attendances under Hospital Authority
HKMDS,202008,T1101B,stat,M110105,醫院管理局轄下的急症室就診人次 (註釋 6),Accident and emergency attendances under Hospital Authority (note 6)
HKMDS,202008,T1101B,class1,outatt,門診類別,Type of outpatient clinic
HKMDS,202008,T1101B,class1_code,outatt_01,普通科門診 (註釋 3),General outpatient (note 3)
HKMDS,202008,T1101B,class1_code,outatt_02,專科門診 (臨床) (註釋 4),Specialist outpatient (clinical) (note 4)
HKMDS,202008,T1101B,class1_code,outatt_03,專職醫療 (門診) (註釋 5),Allied Health (outpatient) (note 5)
HKMDS,202008,T1101B,class1_code,outatt_04,家庭醫學專科門診,Family medicine specialist clinic
HKMDS,202008,T1101B,other_info,note_1,(註釋 1) 就醫管局而言，日間住院病人指入院接受非緊急治療並在同日出院的病人，住院病人則指經急症室轉介入院或留院超過一日的病人。,"(note 1) In Hospital Authority, day inpatients refer to those who are admitted into hospitals for non-emergency treatment and who are discharged within the same day.  Inpatients are those who are admitted into hospitals via Accident & Emergency Department or those who have stayed for more than one day."
HKMDS,202008,T1101B,other_info,note_2,(註釋 2) 計算住院病床佔用率不包括日間住院病人。,(note 2) The calculation of inpatient bed occupancy rate does not include day inpatients.
HKMDS,202008,T1101B,other_info,note_3,(註釋 3) 普通科門診就診人次包括由醫生診視的就診人次、普通科護士診所的就診人次及醫療改革服務計劃內的基層醫療服務就診人次。,"(note 3) General outpatient (GOP) attendances include attendances for doctor consultations, attendances from nurse clinic in GOP setting and attendances in related healthcare reform initiative programmes in primary care."
